id,code,name,reconcile,user_type_id/id,chart_template_id/id,note
account_611600,611600,郵電費,FALSE,account.data_account_type_expenses,l10n_tw.tw_chart_template,
account_611700,611700,修繕費,FALSE,account.data_account_type_expenses,l10n_tw.tw_chart_template,
account_611800,611800,廣告費 ,FALSE,account.data_account_type_expenses,l10n_tw.tw_chart_template,
account_611900,611900,水電瓦斯費,FALSE,account.data_account_type_expenses,l10n_tw.tw_chart_template,
account_612000,612000,保險費,FALSE,account.data_account_type_expenses,l10n_tw.tw_chart_template,
account_612100,612100,交際費,FALSE,account.data_account_type_expenses,l10n_tw.tw_chart_template,
account_612200,612200,捐贈,FALSE,account.data_account_type_expenses,l10n_tw.tw_chart_template,
account_612300,612300,稅捐,FALSE,account.data_account_type_expenses,l10n_tw.tw_chart_template,
account_612400,612400,呆帳損失,FALSE,account.data_account_type_expenses,l10n_tw.tw_chart_template,
account_612500,612500,折舊,FALSE,account.data_account_type_expenses,l10n_tw.tw_chart_template,
account_612600,612600,各項耗竭及攤提,FALSE,account.data_account_type_expenses,l10n_tw.tw_chart_template,
account_612700,612700,外銷損失,FALSE,account.data_account_type_expenses,l10n_tw.tw_chart_template,
account_612800,612800,伙食費,FALSE,account.data_account_type_expenses,l10n_tw.tw_chart_template,
account_612900,612900,職工福利,FALSE,account.data_account_type_expenses,l10n_tw.tw_chart_template,
account_613000,613000,研究發展費用,FALSE,account.data_account_type_expenses,l10n_tw.tw_chart_template,
account_613100,613100,佣金支出,FALSE,account.data_account_type_expenses,l10n_tw.tw_chart_template,
account_613200,613200,訓練費,FALSE,account.data_account_type_expenses,l10n_tw.tw_chart_template,
account_613300,613300,勞務費,FALSE,account.data_account_type_expenses,l10n_tw.tw_chart_template,
account_613400,613400,其他營業費用,FALSE,account.data_account_type_expenses,l10n_tw.tw_chart_template,
account_711100,711100,利息收入,FALSE,account.data_account_type_other_income,l10n_tw.tw_chart_template,
account_712100,712100,租金收入,FALSE,account.data_account_type_other_income,l10n_tw.tw_chart_template,
account_713100,713100,權利金收入,FALSE,account.data_account_type_other_income,l10n_tw.tw_chart_template,非常用專案
account_714100,714100,股利收入,FALSE,account.data_account_type_other_income,l10n_tw.tw_chart_template,
account_715100,715100,利息費用,FALSE,l10n_tw_standard_ifrss.account_type_non-operating_expenses,l10n_tw.tw_chart_template,
account_716100,716100,透過損益按公允價值衡量之金融資產(負債)利益,FALSE,account.data_account_type_other_income,l10n_tw.tw_chart_template,非常用專案
account_716200,716200,透過損益按公允價值衡量之金融資產(負債)損失,FALSE,l10n_tw_standard_ifrss.account_type_non-operating_expenses,l10n_tw.tw_chart_template,非常用專案
account_717100,717100,採權益法認列之投資利益,FALSE,account.data_account_type_other_income,l10n_tw.tw_chart_template,
account_717200,717200,採權益法認列之投資損失,FALSE,l10n_tw_standard_ifrss.account_type_non-operating_expenses,l10n_tw.tw_chart_template,
account_719100,719100,處分投資性不動產利益,FALSE,account.data_account_type_other_income,l10n_tw.tw_chart_template,
account_719200,719200,處分投資性不動產損失,FALSE,l10n_tw_standard_ifrss.account_type_non-operating_expenses,l10n_tw.tw_chart_template,
account_719300,719300,處分投資利益,FALSE,account.data_account_type_other_income,l10n_tw.tw_chart_template,非常用專案
account_719400,719400,處分投資損失,FALSE,l10n_tw_standard_ifrss.account_type_non-operating_expenses,l10n_tw.tw_chart_template,非常用專案
account_720100,720100,處分不動產、廠房及設備利益,FALSE,account.data_account_type_other_income,l10n_tw.tw_chart_template,
account_720200,720200,處分不動產、廠房及設備損失,FALSE,l10n_tw_standard_ifrss.account_type_non-operating_expenses,l10n_tw.tw_chart_template,
account_721100,721100,金融資產減損損失,FALSE,l10n_tw_standard_ifrss.account_type_non-operating_expenses,l10n_tw.tw_chart_template,非常用專案
account_721200,721200,投資性不動產減損損失,FALSE,l10n_tw_standard_ifrss.account_type_non-operating_expenses,l10n_tw.tw_chart_template,非常用專案
account_721300,721300,不動產、廠房及設備減損損失,FALSE,l10n_tw_standard_ifrss.account_type_non-operating_expenses,l10n_tw.tw_chart_template,非常用專案
account_721400,721400,無形資產減損損失,FALSE,l10n_tw_standard_ifrss.account_type_non-operating_expenses,l10n_tw.tw_chart_template,非常用專案
account_721500,721500,生物資產減損損失,FALSE,l10n_tw_standard_ifrss.account_type_non-operating_expenses,l10n_tw.tw_chart_template,非常用專案
account_722100,722100,金融資產減損迴轉利益,FALSE,account.data_account_type_other_income,l10n_tw.tw_chart_template,非常用專案
account_722200,722200,投資性不動產減損迴轉利益,FALSE,account.data_account_type_other_income,l10n_tw.tw_chart_template,非常用專案
account_722300,722300,不動產、廠房及設備減損迴轉利益,FALSE,account.data_account_type_other_income,l10n_tw.tw_chart_template,非常用專案
account_722400,722400,無形資產減損迴轉利益 ,FALSE,account.data_account_type_other_income,l10n_tw.tw_chart_template,非常用專案
account_722500,722500,生物資產減損迴轉利益,FALSE,account.data_account_type_other_income,l10n_tw.tw_chart_template,非常用專案
account_723100,723100,捐贈收入,FALSE,account.data_account_type_other_income,l10n_tw.tw_chart_template,非常用專案
account_723200,723200,佣金收入,FALSE,account.data_account_type_other_income,l10n_tw.tw_chart_template,
account_723300,723300,處分無形資產利益,FALSE,account.data_account_type_other_income,l10n_tw.tw_chart_template,非常用專案
account_723400,723400,出售下腳及廢料收入,FALSE,account.data_account_type_other_income,l10n_tw.tw_chart_template,非常用專案
account_723500,723500,呆帳轉回利益,FALSE,account.data_account_type_other_income,l10n_tw.tw_chart_template,非常用專案
account_723600,723600,手續費收入,FALSE,account.data_account_type_other_income,l10n_tw.tw_chart_template,非常用專案
account_723700,723700,廉價購買利益,FALSE,account.data_account_type_other_income,l10n_tw.tw_chart_template,非常用專案
account_723800,723800,當期原始認列生物資產之利益,FALSE,account.data_account_type_other_income,l10n_tw.tw_chart_template,非常用專案
account_723900,723900,生物資產當期公允價值減出售成本之變動之利益,FALSE,account.data_account_type_other_income,l10n_tw.tw_chart_template,非常用專案
account_724000,724000,處分無形資產損失,FALSE,l10n_tw_standard_ifrss.account_type_non-operating_expenses,l10n_tw.tw_chart_template,非常用專案
account_724100,724100,停工損失,FALSE,l10n_tw_standard_ifrss.account_type_non-operating_expenses,l10n_tw.tw_chart_template,非常用專案
account_724200,724200,災害損失,FALSE,l10n_tw_standard_ifrss.account_type_non-operating_expenses,l10n_tw.tw_chart_template,非常用專案
account_724300,724300,手續費支出,FALSE,l10n_tw_standard_ifrss.account_type_non-operating_expenses,l10n_tw.tw_chart_template,非常用專案
account_724400,724400,虧損性合約損失,FALSE,l10n_tw_standard_ifrss.account_type_non-operating_expenses,l10n_tw.tw_chart_template,非常用專案
account_724500,724500,當期原始認列生物資產之損失,FALSE,l10n_tw_standard_ifrss.account_type_non-operating_expenses,l10n_tw.tw_chart_template,非常用專案
account_724600,724600,生物資產當期公允價值減出售成本之變動之損失,FALSE,l10n_tw_standard_ifrss.account_type_non-operating_expenses,l10n_tw.tw_chart_template,非常用專案
account_724700,724700,其他收入,FALSE,account.data_account_type_other_income,l10n_tw.tw_chart_template,
account_821100,821100,所得稅費用(或利益) ,FALSE,l10n_tw_standard_ifrss.account_type_income_tax_expense,l10n_tw.tw_chart_template,
account_841100,841100,停業單位資產或處分群組處分損益（稅後）,FALSE,l10n_tw_standard_ifrss.account_type_discontinued_operations,l10n_tw.tw_chart_template,非常用專案
